batch_idx,mc_draw,accuracy,fault_layer,fault_location,fault_category,fault_type,fault_value
0,0,1.0,2,In2_Out0,Connection,stuck_on,stuck_on
0,1,1.0,2,In4_Out0,Connection,stuck_on,stuck_on
0,2,0.5,2,In1_Out1,Connection,stuck_on,stuck_on
0,3,1.0,1,In0_Out2,Connection,stuck_on,stuck_on
0,4,1.0,1,In2_Out2,Connection,stuck_on,stuck_on
0,5,0.0,2,In3_Out2,Connection,stuck_off,stuck_off
0,6,1.0,2,N1,Neuron,dynamic,Idx_1
0,7,1.0,2,In2_Out1,Connection,stuck_off,stuck_off
0,8,0.5,0,N1,Neuron,dynamic,Idx_1
0,9,0.5,0,N1,Neuron,dynamic,Idx_0
0,10,1.0,1,In3_Out4,Connection,stuck_off,stuck_off
0,11,1.0,2,In4_Out0,Connection,stuck_on,stuck_on
0,12,1.0,1,N1,Neuron,dynamic,Idx_2
0,13,1.0,2,In0_Out1,Connection,stuck_off,stuck_off
0,14,1.0,1,N3,Neuron,static,2.0
0,15,0.5,1,In0_Out4,Connection,stuck_off,stuck_off
0,16,1.0,1,In4_Out2,Connection,stuck_on,stuck_on
0,17,1.0,1,In3_Out0,Connection,stuck_on,stuck_on
0,18,1.0,1,In0_Out1,Connection,stuck_on,stuck_on
0,19,1.0,0,In0_Out4,Connection,stuck_on,stuck_on
0,20,1.0,2,In2_Out1,Connection,stuck_off,stuck_off
0,21,1.0,2,In2_Out1,Connection,stuck_on,stuck_on
0,22,1.0,1,In1_Out1,Connection,stuck_on,stuck_on
0,23,1.0,2,In4_Out2,Connection,stuck_on,stuck_on
0,24,1.0,2,In3_Out0,Connection,stuck_off,stuck_off
0,25,0.5,2,In0_Out0,Connection,stuck_on,stuck_on
0,26,0.5,0,N0,Neuron,dynamic,Idx_2
0,27,0.0,2,N0,Neuron,dynamic,Idx_2
0,28,1.0,1,In1_Out2,Connection,stuck_off,stuck_off
0,29,1.0,0,In0_Out4,Connection,stuck_on,stuck_on
0,30,1.0,1,In0_Out1,Connection,stuck_off,stuck_off
0,31,1.0,2,In4_Out2,Connection,stuck_on,stuck_on
0,32,0.5,2,In2_Out0,Connection,stuck_off,stuck_off
0,33,0.0,2,In3_Out2,Connection,stuck_off,stuck_off
0,34,0.5,2,In0_Out0,Connection,stuck_on,stuck_on
0,35,1.0,1,In2_Out1,Connection,stuck_off,stuck_off
0,36,1.0,2,In3_Out1,Connection,stuck_on,stuck_on
0,37,0.5,0,In0_Out0,Connection,stuck_off,stuck_off
0,38,1.0,1,In2_Out0,Connection,stuck_on,stuck_on
0,39,1.0,0,N1,Neuron,static,2.0
0,40,1.0,1,In4_Out3,Connection,stuck_on,stuck_on
0,41,0.5,1,In1_Out4,Connection,stuck_on,stuck_on
0,42,0.0,2,N0,Neuron,static,3.0
0,43,1.0,1,In0_Out1,Connection,stuck_off,stuck_off
0,44,1.0,2,In1_Out0,Connection,stuck_off,stuck_off
0,45,1.0,2,In0_Out1,Connection,stuck_off,stuck_off
0,46,0.0,2,In0_Out2,Connection,stuck_off,stuck_off
0,47,0.5,1,In1_Out2,Connection,stuck_on,stuck_on
0,48,0.5,1,In1_Out4,Connection,stuck_on,stuck_on
0,49,1.0,1,N2,Neuron,dynamic,Idx_1
0,50,1.0,1,In2_Out1,Connection,stuck_off,stuck_off
0,51,1.0,1,N3,Neuron,dynamic,Idx_2
0,52,1.0,0,N1,Neuron,static,3.0
0,53,1.0,2,In3_Out0,Connection,stuck_off,stuck_off
0,54,1.0,1,In1_Out0,Connection,stuck_off,stuck_off
0,55,1.0,1,In2_Out3,Connection,stuck_on,stuck_on
0,56,0.5,2,In2_Out0,Connection,stuck_off,stuck_off
0,57,1.0,1,In4_Out3,Connection,stuck_off,stuck_off
0,58,1.0,0,In0_Out1,Connection,stuck_off,stuck_off
0,59,1.0,1,In1_Out2,Connection,stuck_off,stuck_off
0,60,1.0,2,In1_Out2,Connection,stuck_on,stuck_on
0,61,1.0,1,In3_Out1,Connection,stuck_on,stuck_on
0,62,1.0,1,In1_Out3,Connection,stuck_off,stuck_off
0,63,0.5,2,In2_Out0,Connection,stuck_off,stuck_off
0,64,0.5,0,N3,Neuron,dynamic,Idx_0
0,65,1.0,0,In0_Out0,Connection,stuck_on,stuck_on
0,66,1.0,0,N2,Neuron,static,2.0
0,67,1.0,1,In2_Out0,Connection,stuck_on,stuck_on
0,68,0.0,1,N3,Neuron,dynamic,Idx_0
0,69,1.0,1,In2_Out0,Connection,stuck_on,stuck_on
0,70,0.0,1,N4,Neuron,static,3.0
0,71,1.0,2,In3_Out1,Connection,stuck_off,stuck_off
0,72,1.0,1,In1_Out3,Connection,stuck_on,stuck_on
0,73,1.0,1,In0_Out3,Connection,stuck_off,stuck_off
0,74,0.5,1,In0_Out4,Connection,stuck_off,stuck_off
0,75,1.0,1,In4_Out1,Connection,stuck_off,stuck_off
0,76,1.0,1,In0_Out3,Connection,stuck_off,stuck_off
0,77,1.0,1,In0_Out3,Connection,stuck_on,stuck_on
0,78,1.0,2,In0_Out1,Connection,stuck_off,stuck_off
0,79,1.0,1,In4_Out1,Connection,stuck_off,stuck_off
0,80,0.5,2,In0_Out1,Connection,stuck_on,stuck_on
0,81,0.5,2,In1_Out1,Connection,stuck_on,stuck_on
0,82,0.5,1,N1,Neuron,static,0.0
0,83,1.0,2,N2,Neuron,dynamic,Idx_2
0,84,0.5,0,In0_Out0,Connection,stuck_off,stuck_off
0,85,1.0,1,In3_Out3,Connection,stuck_off,stuck_off
0,86,0.0,2,In0_Out2,Connection,stuck_off,stuck_off
0,87,0.5,0,N0,Neuron,static,0.0
0,88,0.5,0,In0_Out0,Connection,stuck_off,stuck_off
0,89,1.0,1,In0_Out1,Connection,stuck_off,stuck_off
0,90,0.5,0,N3,Neuron,dynamic,Idx_0
0,91,1.0,1,In0_Out3,Connection,stuck_on,stuck_on
0,92,1.0,1,In1_Out1,Connection,stuck_off,stuck_off
0,93,0.5,1,In0_Out4,Connection,stuck_off,stuck_off
0,94,0.0,1,N2,Neuron,static,2.0
0,95,1.0,2,In4_Out0,Connection,stuck_off,stuck_off
0,96,1.0,2,In3_Out2,Connection,stuck_on,stuck_on
0,97,1.0,2,In0_Out1,Connection,stuck_off,stuck_off
