dataset,method,mean,std
acuteinflammation,no_fault,0.0001099947119958643,0.00021815318668795574
acuteinflammation,single_fault,0.00012467010604570004,0.0002365894956387797
balancescale,no_fault,0.0027723729945136623,0.0016261887140900705
balancescale,single_fault,0.002861485167522875,0.0015737116471286929
cbf,no_fault,0.0031696033402112754,0.003113287206937328
cbf,single_fault,0.0032560329268259084,0.0031290796767318874
distalphalanxtw,no_fault,0.0029176064358166364,0.0028989350735418406
distalphalanxtw,single_fault,0.003054545813012527,0.002865416210473095
energyy1,no_fault,0.0044809869335343,0.0035466630471648933
energyy1,single_fault,0.004585709069700267,0.003622298091302209
gunpointoldversusyoung,no_fault,0.00232318516937077,0.0018136678142122121
gunpointoldversusyoung,single_fault,0.00261036444004272,0.0021967019765471683
powercons,no_fault,0.0004498957924542,0.0006643398738625156
powercons,single_fault,0.00048420264333383633,0.0006746839670946736
seeds,no_fault,0.0008040062242467699,0.0016700273562936492
seeds,single_fault,0.0008380770447811944,0.0016672785368195802
selfregulationscp2,no_fault,8.58164765304361e-05,6.91521165227138e-05
selfregulationscp2,single_fault,9.74302133727007e-05,7.445141704151201e-05
slope,no_fault,0.00021863255224159297,0.0002697710187707345
slope,single_fault,0.00023153036289384445,0.00028061541194155884
tictactoe,no_fault,0.0015624096170843333,0.0008737739428187944
tictactoe,single_fault,0.0015819327411008336,0.0008861007040269112
