run,method,dataset,metric,value,roc_mode
PSNN_wSurrGPT_wFaults_acuteinflammation_run1,wFaults,acuteinflammation,test_acc_mode_none,0.3199999928474426,
PSNN_wSurrGPT_wFaults_acuteinflammation_run1,wFaults,acuteinflammation,test_acc_mode_single,0.3199999928474426,
PSNN_wSurrGPT_wFaults_acuteinflammation_run1,wFaults,acuteinflammation,val_loss,0.7493644952774048,
PSNN_wSurrGPT_wFaults_acuteinflammation_run1,wFaults,acuteinflammation,val_power,0.1939115673303604,
PSNN_wSurrGPT_wFaults_acuteinflammation_run1,wFaults,acuteinflammation,test_roc_micro_auc,0.6764705777168274,generic
PSNN_wSurrGPT_wFaults_acuteinflammation_run1,wFaults,acuteinflammation,test_roc_micro_auc_mode_none,0.6764705777168274,none
PSNN_wSurrGPT_wFaults_acuteinflammation_run1,wFaults,acuteinflammation,test_roc_micro_auc_mode_single,0.5,single
PSNN_wSurrGPT_woFaults_acuteinflammation_run1,woFaults,acuteinflammation,test_acc_mode_none,0.3199999928474426,
PSNN_wSurrGPT_woFaults_acuteinflammation_run1,woFaults,acuteinflammation,test_acc_mode_single,0.6800000071525574,
PSNN_wSurrGPT_woFaults_acuteinflammation_run1,woFaults,acuteinflammation,val_loss,0.7258288264274597,
PSNN_wSurrGPT_woFaults_acuteinflammation_run1,woFaults,acuteinflammation,val_power,0.0017903948901221156,
PSNN_wSurrGPT_woFaults_acuteinflammation_run1,woFaults,acuteinflammation,test_roc_micro_auc,0.375,generic
PSNN_wSurrGPT_woFaults_acuteinflammation_run1,woFaults,acuteinflammation,test_roc_micro_auc_mode_none,0.375,none
PSNN_wSurrGPT_woFaults_acuteinflammation_run1,woFaults,acuteinflammation,test_roc_micro_auc_mode_single,0.5,single
PSNN_wSurrGPT_woFaults_cbf_run1,woFaults,cbf,test_acc_mode_none,0.44999998807907104,
PSNN_wSurrGPT_woFaults_cbf_run1,woFaults,cbf,test_acc_mode_single,0.5600000023841858,
PSNN_wSurrGPT_woFaults_cbf_run1,woFaults,cbf,val_loss,1.0744842290878296,
PSNN_wSurrGPT_woFaults_cbf_run1,woFaults,cbf,val_power,0.0013076254399493337,
PSNN_wSurrGPT_woFaults_cbf_run1,woFaults,cbf,test_roc_micro_auc,0.746749997138977,generic
PSNN_wSurrGPT_woFaults_cbf_run1,woFaults,cbf,test_roc_micro_auc_mode_none,0.746749997138977,none
PSNN_wSurrGPT_woFaults_cbf_run1,woFaults,cbf,test_roc_micro_auc_mode_single,0.7271000146865845,single
PSNN_wSurrGPT_wFaults_cbf_run1,wFaults,cbf,test_acc_mode_none,0.6299999952316284,
PSNN_wSurrGPT_wFaults_cbf_run1,wFaults,cbf,test_acc_mode_single,0.5799999833106995,
PSNN_wSurrGPT_wFaults_cbf_run1,wFaults,cbf,val_loss,1.058610200881958,
PSNN_wSurrGPT_wFaults_cbf_run1,wFaults,cbf,val_power,0.0018320539966225624,
PSNN_wSurrGPT_wFaults_cbf_run1,wFaults,cbf,test_roc_micro_auc,0.8378000259399414,generic
PSNN_wSurrGPT_wFaults_cbf_run1,wFaults,cbf,test_roc_micro_auc_mode_none,0.8378000259399414,none
PSNN_wSurrGPT_wFaults_cbf_run1,wFaults,cbf,test_roc_micro_auc_mode_single,0.8224499821662903,single
PSNN_wSurrGPT_woFaults_acuteinflammation_run2,woFaults,acuteinflammation,test_acc_mode_none,0.3199999928474426,
PSNN_wSurrGPT_woFaults_acuteinflammation_run2,woFaults,acuteinflammation,test_acc_mode_single,0.3199999928474426,
PSNN_wSurrGPT_woFaults_acuteinflammation_run2,woFaults,acuteinflammation,val_loss,0.7271084189414978,
PSNN_wSurrGPT_woFaults_acuteinflammation_run2,woFaults,acuteinflammation,val_power,0.00548918591812253,
