dataset,method,mean,std
acuteinflammation,no_fault,0.4399999976158142,0.1859032080050855
acuteinflammation,single_fault,0.4399999976158142,0.1859032080050855
balancescale,no_fault,0.7974683493375778,0.05468978537681805
balancescale,single_fault,0.813291147351265,0.07479788753672727
cbf,no_fault,0.5816666682561239,0.1200694316429871
cbf,single_fault,0.684999997417132,0.14307341147292124
distalphalanxtw,no_fault,0.4600000083446502,0.0
distalphalanxtw,single_fault,0.46000000834465016,0.0
energyy1,no_fault,0.8481012582778931,0.0
energyy1,single_fault,0.8481012582778931,
gunpointoldversusyoung,no_fault,0.903296709060669,0.21623513218828372
gunpointoldversusyoung,single_fault,0.9582417607307434,0.06702395504671745
powercons,no_fault,0.4861111044883728,0.0
powercons,single_fault,0.5393518507480621,0.05984590976565286
seeds,no_fault,0.28682170808315277,0.12364281071963656
seeds,single_fault,0.23720930218696595,0.025475471776885507
selfregulationscp2,no_fault,0.5157894909381866,0.023537561165261917
selfregulationscp2,single_fault,0.5263158082962036,0.0
slope,no_fault,0.5,0.0
slope,single_fault,0.5,0.0
tictactoe,no_fault,0.7468354403972626,0.10740858817855725
tictactoe,single_fault,0.6708860993385315,
