dataset,method,mean,std
acuteinflammation,no_fault,0.5,0.20784610516732713
acuteinflammation,single_fault,0.5,0.20784610516732713
balancescale,no_fault,0.7974683493375778,0.05468978537681805
balancescale,single_fault,0.813291147351265,0.07479788753672727
cbf,no_fault,0.6525000035762787,0.06238323959176167
cbf,single_fault,0.7650000005960464,0.0341564903378884
distalphalanxtw,no_fault,0.4600000083446502,0.0
distalphalanxtw,single_fault,0.4600000083446502,0.0
energyy1,no_fault,0.8481012582778931,0.0
energyy1,single_fault,0.8481012582778931,0.0
energyy2,no_fault,0.6772152036428452,0.17736581036804483
energyy2,single_fault,0.6898734271526337,0.1194174791386718
freezersmalltrain,no_fault,0.5000000149011612,0.0461880291059768
freezersmalltrain,single_fault,0.5000000149011612,0.0461880291059768
gunpointmaleversusfemale,no_fault,0.7060439735651016,0.04945054650306702
gunpointmaleversusfemale,single_fault,0.6785714477300644,0.061101927924386415
gunpointoldversusyoung,no_fault,1.0,0.0
gunpointoldversusyoung,single_fault,0.9862637370824814,0.027472525835037166
iris,no_fault,0.3306451514363289,0.0161290317773819
iris,single_fault,0.3306451514363289,0.0161290317773819
powercons,no_fault,0.4861111044883728,0.0
powercons,single_fault,0.5659722238779068,0.05598789569043011
proximalphalanxoutlinecorrect,no_fault,0.6600000262260437,0.0
proximalphalanxoutlinecorrect,single_fault,0.6600000262260437,0.0
seeds,no_fault,0.3255814015865326,0.13953489065170288
seeds,single_fault,0.24418604746460915,0.023255817592144012
selfregulationscp2,no_fault,0.5263158082962036,0.0
selfregulationscp2,single_fault,0.5263158082962036,0.0
slope,no_fault,0.5,0.0
slope,single_fault,0.5,0.0
tictactoe,no_fault,0.775316447019577,0.05505478058716973
tictactoe,single_fault,0.6962025463581085,0.03580287677514078
vertebralcolumn2clases,no_fault,0.6349206566810608,0.0
vertebralcolumn2clases,single_fault,0.6349206566810608,0.0
