dataset,method,mean,std
acuteinflammation,no_fault,0.5,0.19718012853709385
acuteinflammation,single_fault,0.4399999976158142,0.1859032080050855
balancescale,no_fault,0.7911392450332642,0.031855820712651896
balancescale,single_fault,0.8196202516555786,0.04778376791150605
cbf,no_fault,0.5149999956289927,0.0683373941362431
cbf,single_fault,0.524999996026357,0.09772409911073551
distalphalanxtw,no_fault,0.4600000083446502,0.0
distalphalanxtw,single_fault,0.46000000834465016,0.0
energyy1,no_fault,0.8481012582778931,0.0
energyy1,single_fault,0.797468364238739,
gunpointoldversusyoung,no_fault,0.8241758346557617,0.21094893050835842
gunpointoldversusyoung,single_fault,0.8901098966598511,0.1330078869832128
powercons,no_fault,0.49722222089767454,0.015214522741100953
powercons,single_fault,0.5486111044883728,0.0517815305195127
seeds,no_fault,0.28682170808315277,0.12364281071963656
seeds,single_fault,0.23720930218696595,0.025475471776885507
selfregulationscp2,no_fault,0.5157894849777221,0.014413761822812308
selfregulationscp2,single_fault,0.5263158082962036,0.0
slope,no_fault,0.5,0.0
slope,single_fault,0.5,0.0
tictactoe,no_fault,0.7278481125831604,0.08055645167063007
tictactoe,single_fault,0.6708860993385315,
