dataset,method,mean,std
acuteinflammation,no_fault,0.6800000071525574,0.0
acuteinflammation,single_fault,0.6800000071525574,0.0
balancescale,no_fault,0.8101265728473663,0.01790141028966862
balancescale,single_fault,0.8607594966888428,0.0
cbf,no_fault,0.574999988079071,0.0070710610683697135
cbf,single_fault,0.625,0.02121318320510914
distalphalanxtw,no_fault,0.4600000083446502,0.0
distalphalanxtw,single_fault,0.4600000083446502,0.0
energyy1,no_fault,0.8481012582778931,0.0
energyy1,single_fault,0.8481012582778931,0.0
energyy2,no_fault,0.8037974834442139,0.008950726218258565
energyy2,single_fault,0.7594936788082123,0.05370431516270288
freezersmalltrain,no_fault,0.5300000011920929,0.014142164283587938
freezersmalltrain,single_fault,0.5199999809265137,0.0
gunpointmaleversusfemale,no_fault,0.7197802364826202,0.03885201862855489
gunpointmaleversusfemale,single_fault,0.7197802364826202,0.007770403725710978
gunpointoldversusyoung,no_fault,0.9835164844989777,0.023311211177133053
gunpointoldversusyoung,single_fault,1.0,0.0
iris,no_fault,0.35483869910240173,0.0
iris,single_fault,0.33870966732501984,0.022809895487520104
powercons,no_fault,0.5138888955116272,0.0
powercons,single_fault,0.5972222089767456,0.019641864398925988
proximalphalanxoutlinecorrect,no_fault,0.6600000262260437,0.0
proximalphalanxoutlinecorrect,single_fault,0.6600000262260437,0.0
seeds,no_fault,0.39534884691238403,0.197332134783885
seeds,single_fault,0.25581395626068115,0.0
selfregulationscp2,no_fault,0.5263158082962036,0.0
selfregulationscp2,single_fault,0.5263158082962036,0.0
slope,no_fault,0.5,0.0
slope,single_fault,0.5,0.0
tictactoe,no_fault,0.7848101258277893,0.0
tictactoe,single_fault,0.7215189933776855,0.03580290487303426
vertebralcolumn2clases,no_fault,0.6349206566810608,0.0
vertebralcolumn2clases,single_fault,0.6349206566810608,0.0
