datasetname,method,mean,std
acuteinflammation,wfault,173.625,1.8631
acuteinflammation,wofault,150.9,1.1065
balancescale,wfault,482.5292,4.024
balancescale,wofault,470.15,7.1486
cbf,wfault,223.3222,3.0156
cbf,wofault,217.5083,1.7769
distalphalanxtw,wfault,279.57,5.2793
distalphalanxtw,wofault,276.45,8.3827
energyy1,wfault,526.8667,165.9663
energyy1,wofault,538.1325,155.0792
energyy2,wfault,498.5178,223.3938
energyy2,wofault,498.2293,171.0385
freezersmalltrain,wfault,200.9167,1.7466
freezersmalltrain,wofault,207.5667,2.7668
gunpointmaleversusfemale,wfault,203.2722,1.2652
gunpointmaleversusfemale,wofault,201.1972,1.6976
gunpointoldversusyoung,wfault,222.4167,24.063
gunpointoldversusyoung,wofault,214.7867,2.8332
iris,wfault,159.7278,2.3663
iris,wofault,158.4306,2.6453
powercons,wfault,164.2571,2.4146
powercons,wofault,168.0667,1.3153
proximalphalanxoutlinecorrect,wfault,199.3028,0.746
proximalphalanxoutlinecorrect,wofault,207.1806,3.9312
seeds,wfault,203.4133,1.5514
seeds,wofault,178.6333,0.7203
selfregulationscp2,wfault,215.5,1.052
selfregulationscp2,wofault,211.1633,2.0743
slope,wfault,200.0694,2.5252
slope,wofault,198.6167,1.3818
tictactoe,wfault,528.0167,138.9612
tictactoe,wofault,534.6285,94.8334
vertebralcolumn2clases,wfault,225.5028,1.5991
vertebralcolumn2clases,wofault,240.1222,7.3414
